feature_1,feature2,class
-12.749310447032713,30.641504196308997,A
-22.702862461308076,36.780473079284064,A
-12.957783450363886,38.48416257835237,A
-6.293464807045927,35.5733152515414,A
-12.326833201481701,49.000230634108085,A
-9.847939972300212,23.23183696870403,A
-31.741473538730066,48.874840591174475,A
-18.38128515324459,42.44943456227895,A
-21.67604444936432,27.798777932828198,A
-11.274387715431573,41.89793792210622,A
-10.525473228637757,24.742347058546695,A
-22.06504263310569,44.2058521130361,A
13.717026042896073,18.732024869740222,A
-6.819117385361882,19.284610106749604,A
-6.280638048124379,29.49923290664745,A
-10.869885060414347,30.51917153118488,A
-0.14700567852990076,11.041937715605012,A
-1.2507023262194767,35.872453313333416,A
-16.301510742616184,25.999848612450492,A
-8.97985931297372,33.87577959305731,A
-3.3131063060840633,13.165413280309089,A
-32.83433805978135,45.223508121216895,A
-6.707255392820395,46.80957729210412,A
-6.092266307824712,27.5975037166421,A
-6.310148353890428,38.10379790244026,A
-13.797967498739109,33.19983337958057,A
-2.977127600285753,37.6071671599914,A
-17.522725771753812,33.103680650472725,A
5.59215958920332,21.78694855987857,A
-11.487829680665365,9.72828569112199,A
-8.026805135579565,35.326789785638184,A
3.263796894842706,20.432384882798644,A
-9.448280292376792,32.184017370627274,A
-11.048017739130522,27.64467105683441,A
-16.515457444508424,29.985628837392202,A
0.8992655752166652,17.744568181293758,A
-20.95703264545424,40.73265573462698,A
-1.6467963528140679,22.317820430976088,A
-1.7530790042895852,41.57128102316146,A
-7.39598929680327,24.381117545502157,A
-12.300037812847096,32.530669241370035,A
-10.325320234097799,31.722748847182654,A
-3.281296936918448,26.116799129144606,A
-12.55150466762429,20.29895131306557,A
-15.949507343834036,49.64535513858699,A
-3.9572759789753738,45.97250527539261,A
-28.15779744716631,39.01958998195491,A
-15.210159399218902,22.215735624898308,A
-12.229477674621812,27.312419499005028,A
0.7268553144762322,26.29453473355291,A
41.05586201077707,-0.4302163868876585,B
38.02166531563145,2.9922154322539463,B
38.904684247173265,5.717881660696959,B
36.132446139196084,-6.382013540248517,B
32.73127036797206,6.47464229612924,B
40.96677270519798,-9.881862598048878,B
31.5930696110019,-5.616268081231934,B
33.938430397357465,-4.773448057243418,B
37.22143180670296,-0.05035033665559041,B
39.58445956163911,-5.1758103847684716,B
35.61870247067348,-11.74300674812807,B
29.414801004160374,-3.1061425643324316,B
32.709112285231505,-5.733923396170443,B
37.29539095799933,-3.500941732461662,B
36.658189611009156,-11.998621278262611,B
30.66000271410221,-3.4834743157494055,B
25.518617205974955,1.082232101724916,B
44.37173448476248,-3.3631093680717763,B
48.02958139368125,-3.1187267511229146,B
39.73188966130928,-0.9202995450126954,B
42.03257540782606,7.128631843173453,B
36.17568465716314,1.255566461761517,B
34.47291721447094,-4.941459806073343,B
31.250639846139737,-0.8089437131372996,B
42.822047233694505,-4.069519311869043,B
29.888397610028107,-12.362217293287369,B
31.60258902094243,-16.191763502410815,B
36.764742846623136,-0.30929719157762836,B
35.59635618509296,-12.41940324851425,B
28.54644599597518,-5.154461017048277,B
45.983757925293176,-4.691568399800581,B
35.29839122201465,0.6292498016873358,B
34.59967407984521,-6.129183563435942,B
46.23409652206728,-15.871902169242757,B
35.475931092864094,-5.595212906585286,B
28.308985130313076,-12.547178837803374,B
34.825390564234205,3.0465284537454647,B
35.14253443961708,-7.0924040811285725,B
37.07834339981868,-14.025488856142845,B
23.477142810748184,-4.473587116635638,B
29.865562185284546,-3.31629691155387,B
34.498339797626755,-4.096931489863629,B
36.00754185827479,-16.286727125997487,B
41.86825894261345,-12.549379944663212,B
35.895666508227116,-7.974105883872168,B
35.220749362823426,-14.235428316441197,B
33.153391844175836,-2.6391084369775912,B
24.98018384403806,-2.951969159861609,B
37.799748242235594,-5.621478219464419,B
37.04397959755329,1.0575211628074284,B
-9.224232935567695,-9.055389747130137,C
10.11609385260213,-7.495509116889146,C
19.01220484623761,6.687527704182935,C
2.3000320312000344,0.6047061310883814,C
-24.02805560762292,3.5831373222994696,C
3.976440644436043,7.003966071878928,C
21.648433516925813,14.681468915529138,C
22.93450408317227,14.825942680325152,C
12.810148037980863,8.939186782703196,C
16.91247894571096,9.766568162341022,C
-1.3291770930447413,2.9142151667462146,C
4.2604604446656404,1.4688866253306352,C
11.604928320675892,7.109431550999192,C
23.83161256196425,14.265379981428277,C
-3.504645128467665,3.725218056345084,C
-7.8890936933103255,-1.983780163350569,C
9.023486899706718,-3.3665036166412268,C
7.663898153031817,-1.4797796736417972,C
7.668383092932924,-6.421873270888188,C
-2.334829927299288,-8.094546978144448,C
11.906519750689696,6.872791458888461,C
-5.385008033830719,-4.244453006383982,C
-9.047167342083725,-4.530440054936156,C
5.398078302098462,3.691105162294895,C
20.218751619792606,19.711045503527078,C
-6.565375248349051,-18.357883284193296,C
-2.3875949108533376,-8.60748804334089,C
-0.8149357216421818,3.7541233985620606,C
-0.9584535537157439,0.9160350126508847,C
-4.407920237632995,4.9153210161977725,C
4.191100846316064,-1.595488877568116,C
4.847800766425487,12.353879573149923,C
-3.03113539974305,-0.4658344165720387,C
1.2534658413993007,-3.5381765395892373,C
6.706593901755772,18.178127607793055,C
5.432015911827589,-2.596853837510733,C
-27.697656397711,-15.60899931544714,C
0.06364439622080909,-1.8584410280933703,C
-15.692531338351142,-13.040199602582645,C
7.574120871344741,-1.5373990781173599,C
16.294069024592087,14.63816250812945,C
8.639577086894445,16.68368045533099,C
-3.2983085717318907,-3.9187432503449457,C
-17.06219276423292,-9.598995872476022,C
13.166167863822057,14.541221403604562,C
14.642529034974846,2.6112631266748534,C
6.513628330433975,0.593155518403474,C
-0.10579527219936846,-4.222298755588145,C
-7.956438836249367,9.8744301831414,C
-12.328168495995417,-3.59079148747485,C
